bowler,runs_conceded,balls_bowled,matches,overs,economy,wickets,bowling_avg
YS Chahal,4681,3628,159,604.6666666666666,7.74,213,21.98
DJ Bravo,4436,3296,158,549.3333333333334,8.08,207,21.43
PP Chawla,5179,3895,191,649.1666666666666,7.98,201,25.77
SP Narine,4672,4146,175,691.0,6.76,200,23.36
R Ashwin,5435,4679,208,779.8333333333334,6.97,198,27.45
B Kumar,5051,4060,176,676.6666666666666,7.46,195,25.9
SL Malinga,3486,2974,122,495.6666666666667,7.03,188,18.54
A Mishra,4193,3444,162,574.0,7.3,183,22.91
JJ Bumrah,3840,3185,133,530.8333333333334,7.23,182,21.1
RA Jadeja,4917,3895,211,649.1666666666666,7.57,169,29.09
UT Yadav,4442,3190,147,531.6666666666666,8.35,163,27.25
Harbhajan Singh,4101,3496,160,582.6666666666666,7.04,161,25.47
Rashid Khan,3340,2901,121,483.5,6.91,157,21.27
Sandeep Sharma,3758,2925,126,487.5,7.71,153,24.56
HV Patel,3215,2284,103,380.6666666666667,8.45,151,21.29
MM Sharma,3278,2308,111,384.6666666666667,8.52,147,22.3
Mohammed Shami,3486,2521,110,420.1666666666667,8.3,144,24.21
AR Patel,3824,3152,148,525.3333333333334,7.28,131,29.19
TA Boult,3286,2428,103,404.6666666666667,8.12,128,25.67
R Vinay Kumar,3041,2186,104,364.3333333333333,8.35,127,23.94
K Rabada,2652,1907,80,317.8333333333333,8.34,126,21.05
AD Russell,2691,1771,112,295.1666666666667,9.12,125,21.53
A Nehra,2537,1974,88,329.0,7.71,121,20.97
Z Khan,2860,2276,99,379.3333333333333,7.54,119,24.03
JD Unadkat,3219,2194,104,365.6666666666667,8.8,109,29.53
CH Morris,2377,1801,81,300.1666666666667,7.92,107,22.21
SR Watson,2742,2137,105,356.1666666666667,7.7,107,25.63
DW Steyn,2583,2282,95,380.3333333333333,6.79,105,24.6
P Kumar,3342,2637,119,439.5,7.6,102,32.76
SN Thakur,2908,1979,92,329.8333333333333,8.82,100,29.08
RP Singh,2417,1874,82,312.3333333333333,7.74,100,24.17
IK Pathan,2711,2113,101,352.1666666666667,7.7,99,27.38
PP Ojha,2399,1945,90,324.1666666666667,7.4,99,24.23
Mohammed Siraj,2894,2081,93,346.8333333333333,8.34,96,30.15
JA Morkel,2409,1807,87,301.1666666666667,8.0,96,25.09
I Sharma,3255,2429,110,404.8333333333333,8.04,96,33.91
DS Kulkarni,2513,1876,92,312.6666666666667,8.04,91,27.62
Kuldeep Yadav,2413,1786,82,297.6666666666667,8.11,90,26.81
M Morkel,2136,1699,70,283.1666666666667,7.54,88,24.27
Imran Tahir,1729,1340,59,223.33333333333334,7.74,86,20.1
L Balaji,2083,1574,73,262.3333333333333,7.94,85,24.51
CV Varun,2042,1624,70,270.6666666666667,7.54,85,24.02
Arshdeep Singh,2097,1453,65,242.16666666666666,8.66,84,24.96
R Bhatia,2059,1661,91,276.8333333333333,7.44,82,25.11
KV Sharma,2130,1520,82,253.33333333333334,8.41,82,25.98
MM Patel,1733,1382,63,230.33333333333334,7.52,82,21.13
AB Dinda,2103,1589,75,264.8333333333333,7.94,82,25.65
KA Pollard,2200,1586,107,264.3333333333333,8.32,81,27.16
Avesh Khan,2010,1390,62,231.66666666666666,8.68,81,24.81
KH Pandya,2644,2183,117,363.8333333333333,7.27,80,33.05
DL Chahar,2243,1746,81,291.0,7.71,79,28.39
KK Ahmed,1918,1345,57,224.16666666666666,8.56,78,24.59
RD Chahar,2165,1697,77,282.8333333333333,7.65,76,28.49
T Natarajan,2001,1401,61,233.5,8.57,76,26.33
JP Faulkner,1849,1287,60,214.5,8.62,76,24.33
MJ McClenaghan,1839,1346,56,224.33333333333334,8.2,75,24.52
JH Kallis,2348,1799,89,299.8333333333333,7.83,74,31.73
SK Trivedi,1944,1557,75,259.5,7.49,73,26.63
Shakib Al Hasan,1864,1515,70,252.5,7.38,71,26.25
HH Pandya,2196,1485,93,247.5,8.87,70,31.37
Mustafizur Rahman,1792,1353,57,225.5,7.95,70,25.6
Ravi Bishnoi,1861,1460,65,243.33333333333334,7.65,68,27.37
M Muralitharan,1765,1581,66,263.5,6.7,67,26.34
PJ Cummins,1976,1370,58,228.33333333333334,8.65,66,29.94
MG Johnson,1740,1301,54,216.83333333333334,8.02,66,26.36
S Kaul,1772,1238,55,206.33333333333334,8.59,63,28.13
A Nortje,1614,1097,46,182.83333333333334,8.83,62,26.03
SM Curran,1924,1234,58,205.66666666666666,9.35,62,31.03
SK Warne,1465,1223,54,203.83333333333334,7.19,60,24.42
MA Starc,1175,879,39,146.5,8.02,59,19.92
JO Holder,1489,1049,46,174.83333333333334,8.52,59,25.24
LH Ferguson,1451,1002,45,167.0,8.69,57,25.46
TG Southee,1774,1262,54,210.33333333333334,8.43,57,31.12
S Nadeem,1800,1444,70,240.66666666666666,7.48,54,33.33
M Prasidh Krishna,1741,1231,51,205.16666666666666,8.49,54,32.24
S Gopal,1358,1000,51,166.66666666666666,8.15,53,25.62
NM Coulter-Nile,1125,892,38,148.66666666666666,7.57,52,21.63
SB Jakati,1474,1101,57,183.5,8.03,50,29.48
JC Archer,1210,987,40,164.5,7.36,49,24.69
A Kumble,1089,983,42,163.83333333333334,6.65,49,22.22
AJ Tye,1005,714,30,119.0,8.45,48,20.94
S Aravind,1057,788,38,131.33333333333334,8.05,48,22.02
RJ Harris,1085,865,37,144.16666666666666,7.53,47,23.09
VR Aaron,1527,1065,50,177.5,8.6,46,33.2
MC Henriques,1302,979,60,163.16666666666666,7.98,46,28.3
TU Deshpande,1275,831,36,138.5,9.21,46,27.72
