player,total_runs,balls_faced,fours,sixes,innings,strike_rate,avg_runs_per_innings
V Kohli,8014,6236,708,273,244,128.51,32.84
S Dhawan,6769,5483,768,153,221,123.45,30.63
RG Sharma,6630,5183,599,281,251,127.92,26.41
DA Warner,6567,4849,663,236,184,135.43,35.69
SK Raina,5536,4177,506,204,200,132.54,27.68
MS Dhoni,5243,3947,363,252,228,132.84,23.0
AB de Villiers,5181,3487,414,253,170,148.58,30.48
CH Gayle,4997,3516,408,359,141,142.12,35.44
RV Uthappa,4954,3927,481,182,197,126.15,25.15
KD Karthik,4843,3687,466,161,233,131.35,20.79
KL Rahul,4689,3578,400,187,122,131.05,38.43
AM Rahane,4642,3858,479,103,171,120.32,27.15
F du Plessis,4571,3435,422,166,138,133.07,33.12
SV Samson,4419,3270,352,206,162,135.14,27.28
AT Rayudu,4348,3490,359,173,185,124.58,23.5
G Gambhir,4217,3524,492,59,151,119.67,27.93
SR Watson,3880,2892,377,190,141,134.16,27.52
MK Pandey,3859,3288,335,111,158,117.37,24.42
SA Yadav,3594,2522,385,130,135,142.51,26.62
JC Buttler,3583,2519,356,161,106,142.24,33.8
KA Pollard,3437,2447,221,224,168,140.46,20.46
RR Pant,3297,2296,298,154,110,143.6,29.97
YK Pathan,3222,2334,263,161,153,138.05,21.06
Shubman Gill,3216,2432,310,95,99,132.24,32.48
Q de Kock,3160,2410,316,123,107,131.12,29.53
SS Iyer,3131,2545,272,113,114,123.03,27.46
RA Jadeja,2959,2378,215,107,180,124.43,16.44
WP Saha,2934,2368,296,87,143,123.9,20.52
DA Miller,2924,2171,207,134,123,134.68,23.77
BB McCullum,2882,2272,293,130,109,126.85,26.44
PA Patel,2848,2442,365,49,136,116.63,20.94
GJ Maxwell,2772,1842,233,160,128,150.49,21.66
Yuvraj Singh,2754,2207,218,149,126,124.78,21.86
V Sehwag,2728,1833,334,106,104,148.83,26.23
MA Agarwal,2669,2081,265,98,121,128.26,22.06
Ishan Kishan,2644,1991,255,119,99,132.8,26.71
N Rana,2636,2015,234,132,101,130.82,26.1
M Vijay,2619,2208,247,91,105,118.61,24.94
HH Pandya,2534,1814,189,137,128,139.69,19.8
SPD Smith,2495,1999,226,60,93,124.81,26.83
SE Marsh,2489,1913,269,78,69,130.11,36.07
AD Russell,2488,1515,171,209,104,164.22,23.92
JH Kallis,2427,2291,255,44,95,105.94,25.55
DR Smith,2385,1803,245,117,88,132.28,27.1
RD Gaikwad,2380,1781,217,91,65,133.63,36.62
SR Tendulkar,2334,2044,296,29,78,114.19,29.92
RA Tripathi,2236,1650,223,84,93,135.52,24.04
R Dravid,2174,1918,269,28,82,113.35,26.51
KS Williamson,2132,1734,187,64,76,122.95,28.05
AJ Finch,2092,1696,214,78,90,123.35,23.24
AC Gilchrist,2069,1555,239,92,80,133.05,25.86
JP Duminy,2029,1680,126,79,75,120.77,27.05
MEK Hussey,1977,1648,198,52,58,119.96,34.09
PP Shaw,1892,1321,238,61,79,143.22,23.95
MP Stoinis,1866,1366,150,91,88,136.6,21.2
DPMD Jayawardene,1808,1522,200,40,78,118.79,23.18
N Pooran,1769,1143,113,127,72,154.77,24.57
Mandeep Singh,1706,1418,176,38,97,120.31,17.59
MK Tiwary,1695,1489,156,40,83,113.83,20.42
KC Sangakkara,1687,1424,195,27,68,118.47,24.81
AR Patel,1653,1318,107,79,112,125.42,14.76
KH Pandya,1647,1287,144,61,107,127.97,15.39
YBK Jaiswal,1607,1095,199,64,52,146.76,30.9
JM Bairstow,1589,1132,166,69,50,140.37,31.78
DJ Bravo,1560,1247,120,66,110,125.1,14.18
D Padikkal,1559,1323,170,42,64,117.84,24.36
NV Ojha,1554,1360,121,79,94,114.26,16.53
SP Narine,1534,984,164,97,106,155.89,14.47
S Dube,1502,1077,86,101,61,139.46,24.62
KK Nair,1496,1192,161,39,68,125.5,22.0
SS Tiwary,1494,1291,111,50,73,115.72,20.47
DJ Hooda,1466,1170,96,61,96,125.3,15.27
S Badrinath,1441,1245,154,28,65,115.74,22.17
EJG Morgan,1406,1181,112,64,74,119.05,19.0
BJ Hodge,1400,1153,122,43,63,121.42,22.22
Abhishek Sharma,1377,925,128,73,61,148.86,22.57
SC Ganguly,1349,1326,137,42,56,101.73,24.09
CA Lynn,1329,974,132,66,42,136.45,31.64
VR Iyer,1326,1000,121,61,49,132.6,27.06
DJ Hussey,1322,1101,90,60,61,120.07,21.67
SO Hetmyer,1243,854,76,82,65,145.55,19.12
KM Jadhav,1208,1012,102,40,81,119.37,14.91
R Parag,1173,909,84,60,58,129.04,20.22
MM Ali,1162,849,95,67,57,136.87,20.39
Tilak Varma,1156,830,90,58,38,139.28,30.42
TM Dilshan,1153,1047,140,24,50,110.12,23.06
IK Pathan,1150,985,88,38,82,116.75,14.02
V Shankar,1115,890,80,45,58,125.28,19.22
ML Hayden,1107,839,121,44,32,131.94,34.59
M Vohra,1083,863,104,43,51,125.49,21.24
LMP Simmons,1079,878,109,44,29,122.89,37.21
B Sai Sudharsan,1034,770,95,32,25,134.29,41.36
LRPL Taylor,1017,847,66,46,54,120.07,18.83
R Tewatia,1013,788,84,47,65,128.55,15.58
KP Pietersen,1001,758,91,40,36,132.06,27.81
MC Henriques,1000,801,87,28,54,124.84,18.52
AK Markram,995,787,73,35,42,126.43,23.69
H Klaasen,993,613,56,64,32,161.99,31.03
Y Venugopal Rao,985,865,77,37,52,113.87,18.94
JA Morkel,975,712,61,55,67,136.94,14.55
A Symonds,974,781,74,41,36,124.71,27.06
CL White,971,774,76,38,45,125.45,21.58
LS Livingstone,939,609,66,66,39,154.19,24.08
BA Stokes,935,718,81,32,43,130.22,21.74
