venue,total_matches,batting_first_wins,chasing_wins,batting_first_win_pct
Eden Gardens,77,30,47,39.0
Wankhede Stadium,73,36,37,49.3
M Chinnaswamy Stadium,63,26,37,41.3
Feroz Shah Kotla,59,27,32,45.8
"Rajiv Gandhi International Stadium, Uppal",49,19,30,38.8
"MA Chidambaram Stadium, Chepauk",48,31,17,64.6
Sawai Mansingh Stadium,47,15,32,31.9
Dubai International Cricket Stadium,46,23,23,50.0
"Wankhede Stadium, Mumbai",45,18,27,40.0
"Punjab Cricket Association Stadium, Mohali",35,15,20,42.9
Sheikh Zayed Stadium,29,13,16,44.8
"MA Chidambaram Stadium, Chepauk, Chennai",28,14,14,50.0
Sharjah Cricket Stadium,28,10,18,35.7
"Narendra Modi Stadium, Ahmedabad",24,9,15,37.5
Maharashtra Cricket Association Stadium,22,8,14,36.4
"Dr DY Patil Sports Academy, Mumbai",20,10,10,50.0
Dr DY Patil Sports Academy,17,7,10,41.2
"Brabourne Stadium, Mumbai",17,8,9,47.1
Subrata Roy Sahara Stadium,16,10,6,62.5
"Arun Jaitley Stadium, Delhi",16,9,7,56.2
"Eden Gardens, Kolkata",16,8,8,50.0
Rajiv Gandhi International Stadium,15,8,7,53.3
Kingsmead,15,8,7,53.3
"M Chinnaswamy Stadium, Bengaluru",14,8,6,57.1
Arun Jaitley Stadium,14,7,7,50.0
M.Chinnaswamy Stadium,14,7,7,50.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,6,7,46.2
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,7,6,53.8
"Maharashtra Cricket Association Stadium, Pune",13,10,3,76.9
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",13,7,6,53.8
"Sardar Patel Stadium, Motera",12,6,6,50.0
SuperSport Park,12,4,8,33.3
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,5,6,45.5
Saurashtra Cricket Association Stadium,10,3,7,30.0
Punjab Cricket Association IS Bindra Stadium,10,4,6,40.0
"Sawai Mansingh Stadium, Jaipur",10,5,5,50.0
Brabourne Stadium,10,6,4,60.0
Holkar Cricket Stadium,9,1,8,11.1
Himachal Pradesh Cricket Association Stadium,9,5,4,55.6
MA Chidambaram Stadium,9,4,5,44.4
"Zayed Cricket Stadium, Abu Dhabi",8,3,5,37.5
New Wanderers Stadium,8,3,5,37.5
Newlands,7,5,2,71.4
St George's Park,7,3,4,42.9
Barabati Stadium,7,4,3,57.1
JSCA International Stadium Complex,7,2,5,28.6
Shaheed Veer Narayan Singh International Stadium,6,2,4,33.3
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",5,3,2,60.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",5,2,3,40.0
Nehru Stadium,5,3,2,60.0
Green Park,4,0,4,0.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",4,3,1,75.0
Buffalo Park,3,2,1,66.7
De Beers Diamond Oval,3,1,2,33.3
"Vidarbha Cricket Association Stadium, Jamtha",3,2,1,66.7
"Barsapara Cricket Stadium, Guwahati",3,2,1,66.7
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2,2,0,100.0
OUTsurance Oval,2,1,1,50.0
