team_id,team,total_matches,wins,draws,losses,win_rate,goals_scored,goals_conceded,goal_diff,home_win_rate
8634,FC Barcelona,304,234,43,27,0.7697,849,232,617,0.8618
8633,Real Madrid CF,304,228,36,40,0.75,843,304,539,0.8487
9772,SL Benfica,248,185,36,27,0.746,568,186,382,0.8226
9773,FC Porto,248,183,42,23,0.7379,541,161,380,0.8226
9925,Celtic,304,218,50,36,0.7171,695,223,472,0.7895
8548,Rangers,152,108,25,19,0.7105,324,113,211,0.7368
9823,FC Bayern Munich,272,193,44,35,0.7096,653,211,442,0.8015
8593,Ajax,272,181,59,32,0.6654,647,236,411,0.7574
8640,PSV,272,178,47,47,0.6544,652,294,358,0.7721
8635,RSC Anderlecht,212,136,49,27,0.6415,427,182,245,0.7453
10260,Manchester United,304,192,57,55,0.6316,582,280,302,0.7632
9931,FC Basel,286,180,64,42,0.6294,619,311,308,0.7203
9885,Juventus,301,189,66,46,0.6279,543,250,293,0.6954
9768,Sporting CP,248,144,60,44,0.5806,411,209,202,0.6371
8342,Club Brugge KV,212,123,40,49,0.5802,421,251,170,0.7075
8455,Chelsea,304,176,70,58,0.5789,583,286,297,0.6645
9789,Borussia Dortmund,272,157,62,53,0.5772,551,282,269,0.6471
9847,Paris Saint-Germain,304,175,76,53,0.5757,568,267,301,0.6711
8456,Manchester City,304,175,61,68,0.5757,606,307,299,0.7434
8673,Legia Warszawa,240,137,50,53,0.5708,409,204,205,0.675
9825,Arsenal,304,170,73,61,0.5592,573,320,253,0.6382
9906,Atlético Madrid,304,167,59,78,0.5493,524,321,203,0.6776
8686,Roma,303,162,73,68,0.5347,530,359,171,0.6424
8611,FC Twente,272,144,71,57,0.5294,509,319,190,0.625
2182,Lech Poznań,240,124,60,56,0.5167,372,210,162,0.6167
10229,AZ,272,140,53,79,0.5147,492,348,144,0.6029
10235,Feyenoord,272,139,63,70,0.511,489,325,164,0.6324
8564,Milan,303,154,79,70,0.5083,496,312,184,0.6093
8636,Inter,303,154,73,76,0.5083,496,343,153,0.596
9875,Napoli,301,153,77,71,0.5083,514,325,189,0.6333
10264,SC Braga,248,126,56,66,0.5081,398,247,151,0.6532
8178,Bayer 04 Leverkusen,272,137,66,69,0.5037,483,329,154,0.5588
9748,Olympique Lyonnais,304,153,80,71,0.5033,497,316,181,0.5987
9985,Standard de Liège,212,106,42,64,0.5,341,254,87,0.6226
9991,KAA Gent,218,109,55,54,0.5,390,253,137,0.578
8586,Tottenham Hotspur,304,151,74,79,0.4967,481,358,123,0.5789
10192,BSC Young Boys,286,142,69,75,0.4965,529,373,156,0.5944
8650,Liverpool,304,150,76,78,0.4934,531,337,194,0.5658
8639,LOSC Lille,304,147,92,65,0.4836,450,289,161,0.6118
8592,Olympique de Marseille,304,143,90,71,0.4704,462,311,151,0.5263
10267,Valencia CF,304,142,74,88,0.4671,484,369,115,0.5921
10189,FC Schalke 04,272,127,57,88,0.4669,426,336,90,0.5882
9987,KRC Genk,212,97,55,60,0.4575,348,251,97,0.5755
8302,Sevilla FC,304,139,65,100,0.4572,478,397,81,0.5987
10265,Wisła Kraków,240,108,64,68,0.45,332,235,97,0.5333
8197,Leicester City,76,34,20,22,0.4474,114,91,23,0.5
8535,Fiorentina,300,132,75,93,0.44,440,343,97,0.5333
8573,KV Oostende,66,29,14,23,0.4394,102,97,5,0.5152
8543,Lazio,301,131,65,105,0.4352,417,364,53,0.5364
8721,VfL Wolfsburg,272,117,67,88,0.4301,463,396,67,0.5441
10205,Villarreal CF,266,112,71,83,0.4211,364,324,40,0.5789
10243,FC Zürich,286,120,69,97,0.4196,468,401,67,0.4336
9829,AS Monaco,228,95,75,58,0.4167,287,237,50,0.4649
9827,Girondins de Bordeaux,304,126,99,79,0.4145,404,335,69,0.5329
10249,Montpellier Hérault SC,266,110,67,89,0.4135,344,307,37,0.5338
9956,Grasshopper Club Zürich,286,115,67,104,0.4021,429,398,31,0.4965
9927,Motherwell,304,122,62,120,0.4013,403,446,-43,0.457
8315,Athletic Club de Bilbao,304,122,71,111,0.4013,415,412,3,0.5263
9788,Borussia Mönchengladbach,272,109,62,101,0.4007,403,379,24,0.5221
8674,FC Groningen,272,109,62,101,0.4007,390,403,-13,0.5294
2183,P. Warszawa,150,60,38,52,0.4,184,153,31,0.4533
9853,AS Saint-Étienne,304,121,82,101,0.398,371,326,45,0.4934
8668,Everton,304,121,100,83,0.398,439,355,84,0.5
8466,Southampton,152,60,40,52,0.3947,216,180,36,0.4737
8485,Aberdeen,304,120,75,109,0.3947,365,357,8,0.4408
10228,SC Heerenveen,272,107,72,93,0.3934,470,455,15,0.4779
7842,Estoril Praia,128,50,36,42,0.3906,167,160,7,0.4688
8571,KV Kortrijk,212,82,50,80,0.3868,267,260,7,0.5283
9908,FC Utrecht,272,105,70,97,0.386,408,402,6,0.5074
8277,Vitesse,272,105,71,96,0.386,423,386,37,0.4412
1601,Ruch Chorzów,240,92,57,91,0.3833,280,292,-12,0.45
8600,Udinese,302,115,76,111,0.3808,415,404,11,0.5099
9860,Heart of Midlothian,266,101,66,99,0.3797,317,325,-8,0.4962
10214,CD Nacional,248,94,65,89,0.379,332,345,-13,0.4839
9938,Dundee United,304,115,83,106,0.3783,438,435,3,0.4342
8203,KV Mechelen,212,79,52,81,0.3726,285,309,-24,0.4717
7844,Vitória Guimarães,248,92,61,95,0.371,300,317,-17,0.4274
8025,Śląsk Wrocław,240,89,80,71,0.3708,318,287,31,0.4917
9905,1. FSV Mainz 05,238,88,65,85,0.3697,320,319,1,0.4622
8560,Real Sociedad,228,84,59,85,0.3684,316,321,-5,0.5
8467,St. Johnstone FC,266,98,69,99,0.3684,308,329,-21,0.4015
10000,SV Zulte-Waregem,212,78,62,72,0.3679,306,280,26,0.4245
10199,FC Luzern,286,105,74,107,0.3671,421,408,13,0.4545
9851,Stade Rennais FC,304,111,91,102,0.3651,367,354,13,0.4145
10269,VfB Stuttgart,272,99,61,112,0.364,415,441,-26,0.4265
10179,FC Sion,286,104,69,113,0.3636,371,384,-13,0.4895
1957,Jagiellonia Białystok,240,87,64,89,0.3625,287,315,-28,0.525
8028,Piast Gliwice,180,65,42,73,0.3611,204,243,-39,0.4222
8066,Inverness Caledonian Thistle,266,96,69,101,0.3609,345,356,-11,0.3609
6413,PEC Zwolle,136,49,33,54,0.3603,204,201,3,0.4559
9910,RC Celta de Vigo,152,54,35,63,0.3553,184,209,-25,0.3947
9996,Royal Excel Mouscron,34,12,8,14,0.3529,42,49,-7,0.5294
8661,RCD Mallorca,190,67,44,79,0.3526,238,278,-40,0.5158
10233,Genoa,302,106,79,117,0.351,392,411,-19,0.4901
8023,Pogoń Szczecin,120,42,43,35,0.35,152,145,7,0.4333
9994,Sporting Lokeren,212,74,68,70,0.3491,279,272,7,0.3868
9864,Málaga CF,304,106,78,120,0.3487,377,407,-30,0.4408
9831,OGC Nice,304,106,81,117,0.3487,342,376,-34,0.4539
8583,AJ Auxerre,152,53,50,49,0.3487,168,162,6,0.4079
8370,Rayo Vallecano,190,66,28,96,0.3474,247,360,-113,0.4316
8569,GKS Bełchatów,180,62,49,69,0.3444,190,204,-14,0.4667
10212,CS Marítimo,248,85,66,97,0.3427,316,346,-30,0.4435
8540,Palermo,266,91,68,107,0.3421,351,396,-45,0.5038
8121,Angers SCO,38,13,11,14,0.3421,40,38,2,0.3158
9791,Heracles Almelo,272,93,61,118,0.3419,403,463,-60,0.4338
9790,Hamburger SV,272,93,66,113,0.3419,344,421,-77,0.4044
9941,Toulouse FC,304,103,90,111,0.3388,339,352,-13,0.4079
7794,SC Bastia,152,51,37,64,0.3355,165,212,-47,0.5
9904,Hannover 96,272,91,57,124,0.3346,359,465,-106,0.4559
10190,FC St. Gallen,216,72,50,94,0.3333,276,337,-61,0.3981
10191,FC Thun,214,71,68,75,0.3318,279,282,-3,0.4112
8649,Ross County FC,152,50,35,67,0.3289,192,234,-42,0.4211
8020,Polonia Bytom,210,69,63,78,0.3286,245,269,-24,0.4286
8245,Korona Kielce,210,69,64,77,0.3286,237,275,-38,0.4095
8021,Zagłębie Lubin,180,59,51,70,0.3278,207,232,-25,0.3889
10167,Parma,226,74,63,89,0.3274,272,315,-43,0.4425
8697,SV Werder Bremen,272,89,76,107,0.3272,423,471,-48,0.4118
10003,Swansea City,190,62,52,76,0.3263,233,257,-24,0.3895
8030,Lechia Gdańsk,240,78,67,95,0.325,279,296,-17,0.3917
9826,Crystal Palace,114,37,24,53,0.3246,119,150,-31,0.3509
9747,En Avant de Guingamp,114,37,24,53,0.3246,122,153,-31,0.4035
7943,Sassuolo,114,37,33,44,0.3246,141,169,-28,0.3509
8406,FC Augsburg,170,55,45,70,0.3235,201,242,-41,0.3765
6403,FC Paços de Ferreira,248,80,75,93,0.3226,292,349,-57,0.3871
10194,Stoke City,304,98,86,120,0.3224,322,401,-79,0.4539
8226,TSG 1899 Hoffenheim,272,87,76,109,0.3199,400,434,-34,0.3824
8689,FC Lorient,304,97,91,116,0.3191,378,405,-27,0.4079
8558,RCD Espanyol,304,97,73,134,0.3191,338,434,-96,0.4408
9984,KSV Cercle Brugge,182,58,34,90,0.3187,213,274,-61,0.4176
8177,Hertha BSC Berlin,204,65,49,90,0.3186,238,303,-65,0.3725
8027,Zawisza Bydgoszcz,60,19,14,27,0.3167,75,89,-14,0.4333
