PLAYER_ID,PLAYER_NAME,gp,avg_pts,avg_ast,avg_reb,avg_stl,avg_blk,avg_eff,total_pts,total_ast,total_reb,MVP_score
2544,LeBron James,1795,25.98,6.95,7.32,1.52,0.75,27.78,46638.0,12472.0,13147.0,99.39
201142,Kevin Durant,1220,26.5,4.13,6.89,1.06,1.09,26.45,32327.0,5043.0,8402.0,91.18
201935,James Harden,1211,23.5,6.48,5.36,1.5,0.51,23.77,28460.0,7848.0,6497.0,82.86
1629029,Luka Doncic,348,26.24,7.68,8.25,1.11,0.43,27.31,9133.0,2671.0,2871.0,82.72
201939,Stephen Curry,1099,23.5,6.15,4.55,1.57,0.24,23.57,25826.0,6761.0,4997.0,81.26
201566,Russell Westbrook,1264,21.5,7.95,6.93,1.58,0.3,22.93,27180.0,10045.0,8754.0,79.68
203507,Giannis Antetokounmpo,832,21.48,4.43,9.22,1.1,1.24,25.62,17869.0,3684.0,7669.0,79.68
203999,Nikola Jokic,652,19.57,6.1,10.06,1.17,0.7,27.79,12758.0,3974.0,6557.0,79.42
1626157,Karl-Anthony Towns,566,21.85,3.01,10.65,0.77,1.29,26.85,12369.0,1704.0,6030.0,79.35
977,Kobe Bryant,1102,24.76,4.57,4.92,1.35,0.36,21.17,27287.0,5041.0,5417.0,78.4
203076,Anthony Davis,826,20.78,2.04,8.84,1.19,1.98,24.64,17168.0,1684.0,7302.0,77.06
1717,Dirk Nowitzki,1379,20.25,2.33,7.2,0.72,0.77,21.06,27927.0,3213.0,9934.0,76.18
101108,Chris Paul,1520,16.5,8.56,4.14,1.92,0.14,21.94,25086.0,13004.0,6286.0,75.09
203081,Damian Lillard,879,23.38,6.23,3.95,0.93,0.29,21.56,20554.0,5478.0,3475.0,75.05
203954,Joel Embiid,477,22.28,2.8,9.58,0.74,1.38,24.66,10627.0,1337.0,4569.0,74.91
2548,Dwyane Wade,1367,20.56,4.98,4.45,1.46,0.8,19.51,28102.0,6809.0,6081.0,73.61
2546,Carmelo Anthony,1518,20.86,2.51,5.78,0.93,0.47,17.88,31658.0,3812.0,8769.0,72.7
1629027,Trae Young,366,24.22,8.65,3.58,0.9,0.15,22.44,8864.0,3165.0,1310.0,71.87
1495,Tim Duncan,1210,16.68,2.77,9.75,0.67,1.89,21.65,20177.0,3355.0,11800.0,71.32
1629627,Zion Williamson,130,23.32,3.22,6.42,0.88,0.5,23.58,3031.0,418.0,834.0,70.27
2730,Dwight Howard,1541,14.6,1.25,10.92,0.82,1.7,19.95,22494.0,1926.0,16835.0,69.59
200746,LaMarcus Aldridge,1298,17.74,1.77,7.51,0.66,1.03,19.08,23023.0,2297.0,9754.0,68.87
2547,Chris Bosh,1075,18.18,1.87,8.07,0.81,1.01,20.05,19544.0,2015.0,8670.0,68.63
202681,Kyrie Irving,800,21.21,5.14,3.52,1.23,0.41,19.84,16966.0,4113.0,2817.0,68.62
2200,Pau Gasol,1366,15.24,3.0,8.44,0.46,1.41,19.87,20819.0,4093.0,11532.0,68.22
201942,DeMar DeRozan,1152,20.04,3.71,4.25,0.96,0.28,17.84,23083.0,4271.0,4901.0,67.62
1628378,Donovan Mitchell,441,23.89,4.39,4.09,1.24,0.29,19.68,10536.0,1934.0,1803.0,67.37
202331,Paul George,960,19.42,3.45,6.22,1.61,0.43,19.18,18648.0,3313.0,5969.0,67.19
1628369,Jayson Tatum,506,21.09,3.19,6.59,1.1,0.71,20.67,10674.0,1615.0,3336.0,66.7
708,Kevin Garnett,1114,15.06,2.91,8.81,1.09,1.04,20.52,16780.0,3240.0,9812.0,66.38
2397,Yao Ming,471,19.25,1.46,9.03,0.38,1.8,21.81,9065.0,686.0,4253.0,66.28
202695,Kawhi Leonard,811,17.92,2.68,6.14,1.61,0.58,20.13,14537.0,2174.0,4976.0,65.54
1629630,Ja Morant,252,21.61,7.13,4.68,1.0,0.28,21.08,5446.0,1798.0,1179.0,65.2
201933,Blake Griffin,952,17.48,3.59,7.29,0.79,0.45,19.16,16641.0,3421.0,6938.0,64.87
203078,Bradley Beal,797,20.76,3.91,3.86,1.08,0.39,17.96,16543.0,3117.0,3080.0,64.7
947,Allen Iverson,528,22.58,5.88,2.8,1.67,0.12,18.33,11923.0,3105.0,1477.0,64.42
2430,Carlos Boozer,954,16.04,2.21,9.34,0.87,0.36,19.35,15298.0,2104.0,8907.0,63.6
2405,Amar'e Stoudemire,961,17.49,1.11,6.92,0.68,1.15,18.36,16811.0,1065.0,6649.0,63.54
202696,Nikola Vucevic,922,15.29,2.49,9.43,0.78,0.82,19.98,14096.0,2300.0,8696.0,63.53
